Company,Symbol,Price,Market Cap,EV / Annualized Revenue,EV / Forward Revenue,Efficiency,Revenue Growth Rate,Gross Margin,LTM FCF Margin,SGA Margin,R&D Revenue,Sales Marketing Revenue,Score,Rank
Bill.com,BILL,68.11,7271.130318,5.3576309638179,4.772525879024,0.50405976568684,0.32646004766793,0.85303211633359,0.17759971801892,0.719424,0.33014717038386,0.51808858356921,49.95,1
Monday.com,MNDY,176.37,8514.702499,9.9428385472277,7.8758238193093,0.62220219872949,0.38202829947477,0.88526349172789,0.24017389925472,0.741202,0.21735893868363,0.60833089627588,48.68,2
Zscaler,ZS,198.03,29372.492407,14.225733691461,11.507097072279,0.64566552906828,0.39700687389607,0.77573318461938,0.24865865517221,0.664138,0.2190378628832,0.56052106043603,48.25,3
Crowdstrike,CRWD,235.03,56441.234224,17.197455523693,13.427530331451,0.64356910698869,0.35313884747677,0.75190772683438,0.29043025951192,0.516807,0.26209699650968,0.38511483582416,46.5,4
ServiceNow,NOW,690.79,141304.54845,14.921170066652,12.388565631726,0.50942430385016,0.24959038776625,0.78321678321678,0.25983391608392,0.47097,0.23790417748407,0.37479348595705,46.48,5
UiPath,PATH,25.04,14191.121849,9.5357708225306,8.0814493865132,0.42583159413017,0.24045078098834,0.84697825546682,0.18538081314184,0.742553,0.26845764458034,0.56269771035722,45.62,6
Datadog,DDOG,118.62,38973.037047,17.130979080371,14.131534249148,0.49487192801626,0.25428318134024,0.81149732620321,0.24058874667602,0.381081,0.45325278657682,0.29540976112352,45.15,7
Paycom,PAYC,185.75,10717.927315,6.3148065083201,5.6974156601004,0.40210781672911,0.21586811384727,0.86315631437622,0.18623970288184,0.415611,0.11242649662174,0.24783777498379,44.9,8
Atlassian,TEAM,195.11,50349.855785,12.61969261461,10.905594776418,0.44876247341127,0.21102884348619,0.81792436910332,0.23773362992509,0.36856,0.54738393134853,0.22343890870886,44.72,9
Okta,OKTA,73.63,12079.143385,4.867355901113,4.4887056766038,0.38783257711727,0.21403120725425,0.75171232876712,0.17380136986301,0.682656,0.30166051660517,0.48247232472325,44.55,10
HubSpot,HUBS,516.97,26019.380815,11.303519557193,9.6713316674325,0.39288218628886,0.25587780826114,0.84301874068481,0.13700437802772,0.609292,0.27738291744636,0.49687580631603,43.9,11
Dropbox,DBX,28.78,9950.926176,4.3060924865719,4.19397333441,0.3675904764196,0.071065989847716,0.81105845181675,0.29652448657188,0.277155,0.38650928855358,0.18313458262351,43.7,12
Snowflake,SNOW,185.97,61314.309,19.445116477996,15.076466809759,0.55416205814023,0.31801812476213,0.68815524406373,0.2361439333781,0.626618,0.44474859222482,0.50877479489103,43.53,13
Adobe,ADBE,612.47,278857.591,14.081676431493,12.540371411789,0.49296775854266,0.10309045792917,0.88139059304703,0.3898773006135,0.352695,0.17775071481521,0.27957216986127,43.48,14
DocuSign,DOCU,45.99,9344.711825,3.1917016117071,3.0141166440633,0.30423157611243,0.10527914571895,0.78976336618258,0.19895243039348,0.54142,0.18580550797743,0.44982054274986,43.3,15
Workday,WDAY,272.92,71777.96,9.1352920524743,7.8628196463022,0.3801913824411,0.16670095672386,0.76135178956678,0.21349042571723,0.395092,0.3500579191246,0.29651011676478,43.18,16
Zoom,ZM,70.29,21397.927885,3.2951675919108,3.196909384863,0.32247040616834,0.031607252570335,0.76160678861327,0.29086315359801,0.493034,0.18662241556761,0.36520738812556,43.0,17
Procore,PCOR,60.38,8664.073105,8.1914600081886,6.8975332241283,0.39408375754888,0.329766291725,0.8225463581101,0.064317465823877,0.750848,0.32382048873234,0.54390923093825,42.92,18
Salesforce,CRM,260.0,251680.0,7.2699541284404,6.5513161507235,0.3653082794741,0.1126706647952,0.75286697247706,0.2526376146789,0.450992,0.14016021676386,0.37771691111504,42.52,19
